clinic_id,clinic_name,clinic_type,official_url
1,湘南美容クリニック,美容外科,https://www.s-b-c.net/
2,リゼクリニック,医療脱毛専門,https://www.rizeclinic.com/
3,エミナルクリニック,医療脱毛,https://eminal-clinic.jp/
4,レジーナクリニック,医療脱毛,https://reginaclinic.jp/
5,アリシアクリニック,医療脱毛,https://www.aletheia-clinic.com/
6,TCB東京中央美容外科,美容外科,https://aoki-tsuyoshi.com/
